epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,57.3298,1.06071,1.30666,0.98738,0.72396,0.80452,0.79593,0.56528,1.08044,1.1086,0.94852,0.000527389,0.000527389,0.000527389
68,58.1583,0.93418,1.19293,0.92886,0.67851,0.85798,0.84164,0.6089,1.0648,1.04589,0.94503,0.000524562,0.000524562,0.000524562
69,58.9324,0.9324,1.16008,0.92012,0.67851,0.85798,0.84164,0.6089,1.0648,1.04589,0.94503,0.000521734,0.000521734,0.000521734
70,59.718,0.94495,1.14058,0.88979,0.72846,0.72568,0.81745,0.59771,1.05366,1.05375,0.94665,0.000518907,0.000518907,0.000518907
71,60.5763,0.94897,1.21176,0.92956,0.81661,0.72677,0.84672,0.61908,1.04364,1.04173,0.9476,0.000516079,0.000516079,0.000516079
72,61.5063,1.02199,1.26531,0.93661,0.77495,0.83214,0.886,0.64632,1.05768,0.93373,0.94184,0.000513252,0.000513252,0.000513252
73,62.3735,0.95259,1.10682,0.92836,0.77495,0.83214,0.886,0.64632,1.05768,0.93373,0.94184,0.000510424,0.000510424,0.000510424
74,63.2925,0.93762,1.10756,0.91677,0.94489,0.71429,0.94463,0.66262,1.09662,0.87002,0.94175,0.000507597,0.000507597,0.000507597
75,64.2792,0.95813,1.18718,0.92689,0.83441,0.78817,0.89676,0.62963,1.10791,0.89109,0.93717,0.000504769,0.000504769,0.000504769
76,65.121,0.96658,1.2461,0.99879,0.85018,0.74216,0.88796,0.64663,1.05405,0.9057,0.92662,0.000501942,0.000501942,0.000501942
77,65.8857,0.9948,1.55928,0.99995,0.85018,0.74216,0.88796,0.64663,1.05405,0.9057,0.92662,0.000499115,0.000499115,0.000499115
78,66.7605,0.92253,1.22384,0.91646,0.6732,0.87552,0.8892,0.63546,1.0228,0.91443,0.92332,0.000496287,0.000496287,0.000496287
79,67.5637,1.13223,1.21155,0.97582,0.73958,0.89584,0.89483,0.63453,1.04667,0.9023,0.92903,0.00049346,0.00049346,0.00049346
80,68.4117,0.82962,1.09529,0.89252,0.72547,0.90282,0.89037,0.62169,1.06431,0.91913,0.93434,0.000490632,0.000490632,0.000490632
81,69.3561,0.93199,1.18334,0.92399,0.72547,0.90282,0.89037,0.62169,1.06431,0.91913,0.93434,0.000487805,0.000487805,0.000487805
82,70.1783,0.97466,1.10131,0.9225,0.76644,0.7378,0.85311,0.59863,1.06949,0.93538,0.93424,0.000484977,0.000484977,0.000484977
83,70.9622,0.89761,1.0876,0.92291,0.89048,0.70042,0.84025,0.61112,1.04811,0.94337,0.93146,0.00048215,0.00048215,0.00048215
84,71.7848,0.90529,1.0723,0.89599,0.88378,0.66582,0.81853,0.60773,1.0421,1.0191,0.93188,0.000479322,0.000479322,0.000479322
85,72.5774,0.86111,1.09175,0.86842,0.88378,0.66582,0.81853,0.60773,1.0421,1.0191,0.93188,0.000476495,0.000476495,0.000476495
86,73.3876,0.93098,1.16192,0.94441,0.87369,0.66387,0.82104,0.61255,1.01837,1.02899,0.9336,0.000473668,0.000473668,0.000473668
87,74.2281,0.88778,1.10078,0.91755,0.86675,0.68913,0.82399,0.60833,1.04071,0.95429,0.94285,0.00047084,0.00047084,0.00047084
88,75.0685,0.8866,1.04431,0.88821,0.93258,0.67754,0.85516,0.63274,1.06434,0.89088,0.95063,0.000468013,0.000468013,0.000468013
89,75.9797,0.88618,1.06634,0.90763,0.93258,0.67754,0.85516,0.63274,1.06434,0.89088,0.95063,0.000465185,0.000465185,0.000465185
90,76.8307,0.95887,1.15522,0.90035,0.87091,0.72727,0.85969,0.61874,1.07077,0.88489,0.95315,0.000462358,0.000462358,0.000462358
91,77.6961,0.97323,1.11672,0.91905,0.69661,0.79302,0.84327,0.60996,1.05933,0.87486,0.95139,0.00045953,0.00045953,0.00045953
92,78.5797,0.827,0.97704,0.8833,0.84928,0.80865,0.86935,0.63918,1.03952,0.83541,0.94041,0.000456703,0.000456703,0.000456703
93,79.3579,0.88533,1.11394,0.95181,0.84928,0.80865,0.86935,0.63918,1.03952,0.83541,0.94041,0.000453876,0.000453876,0.000453876
94,80.1739,0.89849,1.00819,0.93472,0.93069,0.73343,0.86628,0.64863,1.03063,0.8269,0.93445,0.000451048,0.000451048,0.000451048
95,81.0501,0.82874,1.01334,0.88827,0.94006,0.75688,0.86216,0.63199,1.05891,0.82696,0.94104,0.000448221,0.000448221,0.000448221
96,81.879,0.87289,1.14609,0.88698,0.90061,0.74768,0.86242,0.63966,1.08186,0.83896,0.94811,0.000445393,0.000445393,0.000445393
97,82.6514,0.92611,1.0661,0.94173,0.90061,0.74768,0.86242,0.63966,1.08186,0.83896,0.94811,0.000442566,0.000442566,0.000442566
98,83.4677,0.89483,1.00321,0.90544,0.84324,0.76502,0.85867,0.6463,1.07001,0.84407,0.95157,0.000439738,0.000439738,0.000439738
99,84.3039,0.93591,1.04594,0.92834,0.83042,0.75542,0.85725,0.64048,1.04357,0.86496,0.94738,0.000436911,0.000436911,0.000436911
100,85.0127,0.94483,1.05326,0.92661,0.74467,0.75191,0.83193,0.59589,1.06719,0.8779,0.9507,0.000434083,0.000434083,0.000434083
